,TP53,TNFSF10,IL1R1,PRKAR2B,FAS,ENDOG,CSF2RB,AIFM1,BIRC3,PIK3R1
X23221,1.8546591481971,2.47335687383754,2.36823424715037,1.79507397019588,2.24928663170763,1.93501963350985,2.07643201760183,2.40330877513559,2.00078381198138,2.20998723152648
X32049,1.89752390329985,2.18293519082627,2.31676508008788,1.98553737297849,2.09968769805343,2.04139044425932,1.75694025524978,2.26015242703869,2.02923712793074,2.29451864651586
X32098,2.08473624994069,2.16586462065612,2.44237573060967,2.22921623224557,2.27769898668497,2.05450314888799,1.92029779220126,2.21669163635309,2.00971759945435,2.16737915624564
X34066,2.08197582766261,2.31501650184199,2.42228185186903,1.88391163745581,2.20965916859251,2.12390569547825,2.1218063454576,2.27474616092754,2.3153779147928,2.04454466724855
X34080,2.10959725311428,2.1687336491586,2.35645187312471,2.17705815053969,2.12202558288363,2.10765477886044,2.03475401268192,2.33457782403022,2.02938169680689,2.18579506414317
X34086,2.17506303665693,2.24206727797356,2.47165506746223,2.26606943787009,2.2915150454921,2.11492330250047,1.89012255991159,2.19817634648246,1.97456979544366,2.10005633907657
X34117,1.9493399747585,2.34129221274235,2.4093952574032,2.06482777891144,2.22094978447142,2.14146400958346,2.08821048189651,2.2846848350453,2.15018770857904,2.08889546221307
X34165,2.08326671636193,2.34368768814226,2.418917298928,1.99111976103169,2.24651197236325,2.10211870999202,1.95548700140462,2.25535930455058,2.06741577109082,2.10408171387084
X34168,2.13185133754758,2.05009125519737,2.32100048401296,1.92199501986067,2.20866664428257,2.11692757807406,1.92429682629623,2.30116708810014,1.96027223309099,2.05829451107838
X34202,2.00927655496271,2.33412445689971,2.4264032141646,1.84478193440438,2.23551002420448,2.10208816021206,1.99759408141963,2.2483495797857,1.97480992697582,2.12847929424435
X34801,2.20864467463803,2.1243802508903,2.37508992366002,2.11630129688707,2.23939073473132,2.12031833469863,1.92258449460894,2.18801900241682,1.90745440038494,2.15866737734272
X41170,1.94820323221509,2.07671407552335,2.43516303122535,2.02813772092109,2.22676072559948,2.1092964165924,1.84862960077792,2.27666197364066,2.14604121842601,2.21067373066022
X41192,1.97457951286791,2.21945562617754,2.42470626088872,2.10460843202663,2.23103753249475,2.14034730044416,2.01488968712004,2.28052862771213,1.95886727039718,2.13469647838943
X41300,2.09474139964983,2.28105803972968,2.42414321625433,2.14735950232374,2.20918828153249,2.16645948114793,2.13014534985452,2.30394317038933,2.10320933651416,2.12142046669784
X41310,1.90250893835767,2.30151351906372,2.40397945384779,2.19549307915807,2.27273497832516,2.06692351712086,2.14452913080199,2.35287413328721,2.16437993819603,2.09481525816649
X44080,1.84378566164689,2.28657968711865,2.35333523990371,1.77382289976247,2.19453763741076,2.0244876079518,1.98308756731145,2.33389963457623,1.79312686724645,2.178800332967
X44163,2.10744938452386,2.43588533390507,2.39995224668537,1.87949863686936,2.2461300787694,2.01620617107266,1.98208088608615,2.18968399625802,2.11837495395079,2.1212286703083
X44186,1.88518757601324,2.10034650235973,2.34965950037997,2.24589092431681,2.23066472628574,2.00486615261154,2.03520094999268,2.27668968233201,2.0517773934473,2.20391216548604
X44189,1.96044542679027,2.35379613399888,2.37032878458056,2.08394762402443,2.20239562881867,2.09499495777324,2.12152474054743,2.36170175488078,2.21877730629763,2.12096728850833
X44234,1.92941775118504,2.24437106336422,2.43466543335125,2.24725629849703,2.22138046054729,2.08521981525598,2.16317243961038,2.30812372640714,2.13830343433109,2.0861874865419
X44285,1.97518042146531,2.40223221827627,2.41842223662997,2.19480164440347,2.21721346179526,2.09463060164556,2.11265627421591,2.23643140150416,2.21617498974858,2.11366904022906
X44288,2.07106530878418,2.18151177529155,2.45185904374177,2.29765696971771,2.25384642749853,2.14517075990619,2.07670530158695,2.2986272711397,2.06501675285326,2.19497649674
X44341,2.14181052356818,2.31045702785407,2.4649437096424,2.01538823613947,2.331465024078,2.02577569818006,2.15573569382826,2.18895156122608,2.28971057085791,2.15984918275708
X44349,2.09823753503906,2.31053441325922,2.33537459323634,2.13765620304946,2.16319543131383,2.08339496658701,1.88305706391504,2.20252494995473,2.09592985918464,2.17779141511275
X44366,1.94661275930977,2.08966287541237,2.44683174661035,1.97265779148182,2.26584641703643,2.07287628748442,2.05067677410931,2.32092390433619,1.98140690390807,2.21845537820663
X51016,1.78370881617722,2.06868514854574,2.39673368933053,2.1468080914222,2.24183352562036,2.03053355806997,1.88567170266355,2.13420194369745,1.94237390390406,2.21353199674982
X51086,2.18622204867259,2.39696484008006,2.40084093008694,1.94324374020184,2.16805091203103,2.03990127747556,1.94406988537976,2.29259738144223,2.09649160964823,2.06823017855959
X60020,1.74722224846032,2.32641001217418,2.34101414671383,2.09303128144685,2.21342049038619,2.10380239192609,1.94123495161693,2.27984242801951,2.06619291492404,2.08855241137317
X60067,1.84455904527025,2.22166566778264,2.33812017639665,2.06845263419262,2.26238165712694,2.11856489432451,1.86478220987388,2.34444462908185,1.91463617675019,1.97318618132345
X60091,1.92305816290088,2.27681897940761,2.38431069150441,2.02948813871041,2.25329400338241,2.15291386542333,2.0872546893931,2.41763283558931,2.21613028836201,2.11839058331837
X60188,1.82723921933763,2.23356507828158,2.41462902478714,2.0420251996694,2.19607614035707,2.04183053225806,2.1049642974109,2.28878531250752,2.07285363902376,2.07801802896621
X60214,2.13575807345873,2.24914739575415,2.46108771792745,2.15377645236678,2.32407942580411,2.05826897644703,2.12948924814474,2.35038429012732,2.30467091615168,2.21059260356362
X70048,2.18394794268557,2.2102614490485,2.36725704272963,2.16731619177532,2.2739520521032,2.04954532001876,1.92618109048146,2.24832529762701,2.09858341150819,2.27080129728937
X70077,1.56203388713015,2.30753681296798,2.38200237436009,2.3152100616343,2.19103770024303,2.03708973175515,1.87556125654647,2.21818013452448,2.0322464172579,2.19451424102416
X70102,2.04104628774134,2.43224399720469,2.41579770013567,2.09755401598159,2.29788104629455,2.0100231332363,2.1257118670538,2.24293805568613,2.08881745015831,2.12765773163377
X70115,2.1960917136662,2.12358521331727,2.33198757233819,2.17505962862135,2.25502901702443,2.07054962550818,1.97104447592226,2.2646609788928,1.99650684373076,2.1401143976271
X70119,2.09989836670672,2.12053309986454,2.42301617503436,2.09694373087847,2.24257072243643,2.10748949442499,2.08480712117825,2.23585857994699,2.08107271060017,2.08982618414665
X70124,2.12424758931039,2.40585893305787,2.50452788808517,2.0220984048973,2.20452563739204,2.09239601892947,1.94843410405659,2.24918009684875,2.07567320039207,2.08408947329115
X92003,2.0262398485098,2.10225433974499,2.32026488042395,2.10157111639544,2.20413839946922,2.06056448591015,1.66881940894918,2.33932099077981,1.80716847174699,2.15108290281971
X92065,2.08382317827452,2.35449799538491,2.4216109116312,2.05007065928025,2.32227496883598,2.09608968902767,2.18181309483644,2.31267897789927,2.1267031572615,2.11187121901306
X92074,2.22809320099869,2.40810659569276,2.42378893767252,1.98468295971745,2.24052137367335,2.00481632039123,2.07444533138122,2.23602319287183,2.07957028339227,2.15949155701898
X93050,2.19626967711965,2.30612781015436,2.34162502057583,2.14586695339419,2.20161935060228,2.17374098358794,1.9671501182307,2.29908999223906,1.88269950779965,2.11862860042066
X94019,1.86824354478233,2.16484026487538,2.4056821489586,2.00649577851492,2.18456702972084,2.20093103326746,1.78208111805173,2.39210399019216,1.69834582319942,2.11675659406065
X94025,2.18417986381541,2.26517082723175,2.39408620933649,2.03804125498089,2.19291865347108,2.11304796647653,1.75398837154106,2.26981806991114,1.90497802942389,2.14039081667308
X94044,1.78732297586209,2.20425977221722,2.35355193410152,1.87393989036314,2.11664218702316,2.2805766747287,1.83628977943858,2.2955191881815,1.98345500819992,2.08312848653782
X94056,2.18342085391522,2.13713835222493,2.33003584962521,1.97890686291727,2.12645870644289,2.02923449921225,1.7762379648338,2.34095544469249,1.91043839974706,2.16094318458962
X94067,1.94555294240747,2.33626935439724,2.47837872249171,2.07405330114967,2.244530042001,2.08760686451209,1.88035930616913,2.17142802229221,2.16884224944392,2.02697650844279
X94082,1.94035187327788,2.24178676859219,2.34323267230485,1.98638419733501,2.32500096944503,2.0766463888774,1.84950465532793,2.31289575495976,2.15053470600682,2.10833264533213
